 -1.600000000000000311e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.173213501030962114e+00+1.251487609883281570e-13j, 3.161657447337824056e+00+4.444299833801316632e-14j, 5.093853557656935038e+00-4.397858587296102701e-14j, 5.210926207648630459e+00+1.059904242563750713e-13j, 6.578765460652969743e+00-2.889367360914602033e-14j, 7.059424867202424458e+00-9.855286110446935417e-15j, 7.342571294834948858e+00-1.950318251047416404e-13j, 8.600258704230675733e+00+9.704256828571360651e-14j, 9.342059187087038197e+00+1.189104684739541124e-14j, 9.431265006503513959e+00-3.423533249586573789e-13j
 -1.199999999999999956e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.152594804747420376e+00-1.096995056117767999e-13j, 3.152993740866202543e+00-2.486581348415307993e-14j, 5.111037549150032611e+00+7.805653620807001824e-14j, 5.252255662054438723e+00+7.994812208541375671e-14j, 6.553420055781086440e+00+1.343010302581541603e-13j, 7.044525542697823717e+00+2.441681396377068662e-14j, 7.331345772542116279e+00+1.376303469416827163e-13j, 8.611877459023277837e+00-1.249929882635662012e-13j, 9.323453908917812782e+00-3.407831437754275595e-13j, 9.428364160795883464e+00+5.365583102076410156e-14j
 -7.999999999999996003e-02+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.137739090416244103e+00+1.443062326583529838e-13j, 3.146765995433038920e+00-1.291860757898644305e-14j, 5.123558221587489747e+00-5.456354359502099009e-14j, 5.283170708660056114e+00+2.774296837207259393e-14j, 6.533874157830931395e+00-5.054308421456066691e-14j, 7.033623931204944668e+00-8.418154701977850672e-15j, 7.323214970047398964e+00-3.477844781088077967e-13j, 8.620963681271728518e+00-1.496958428243885242e-14j, 9.309450914579784353e+00+2.873171021629283887e-13j, 9.426283313911913098e+00+3.506355971504387151e-13j
 -4.000000000000003553e-02+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.128773375002583013e+00-3.650234197766030509e-15j, 3.143013637656352000e+00-7.606871711107287309e-14j, 5.131172708585696185e+00-6.739634658943507316e-14j, 5.302348905141113455e+00+7.480938037653960160e-14j, 6.521495010169445550e+00-5.848166282348322566e-14j, 7.026975703566341380e+00+4.375820085224513916e-15j, 7.318295428288148941e+00+3.367496662401269886e-13j, 8.626759182760052269e+00-3.331557245153831035e-13j, 9.300734622587052414e+00-1.982385226663557771e-14j, 9.425031322852492011e+00+2.333994926671649850e-14j
 0.000000000000000000e+00+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.125775979993370868e+00-1.083303001792735510e-13j, 3.141760237390767596e+00-4.834242954695541834e-14j, 5.133728256974110060e+00+2.393753974927528897e-14j, 5.308854950317305033e+00+7.848706071155773768e-14j, 6.517251244653468945e+00-1.498465671490866645e-13j, 7.024741374602181843e+00-4.059597280236878792e-15j, 7.316649145278813826e+00+4.001184620943071875e-14j, 8.628751674085512136e+00-9.029201257952768058e-14j, 9.297773392272839388e+00+2.938808061681950149e-13j, 9.424613416232430652e+00-2.926889665719038451e-14j
 4.000000000000003553e-02+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.128773375002149582e+00+5.553157554335654773e-14j, 3.143013637656995041e+00+3.454183970083461215e-14j, 5.131172708585978626e+00-2.309933894433895010e-15j, 5.302348905141044177e+00+1.433790980016977693e-13j, 6.521495010169009454e+00-3.701925411824355212e-14j, 7.026975703566411546e+00+1.358666481690034274e-14j, 7.318295428288121407e+00-2.388774104150742607e-13j, 8.626759182760304512e+00+1.452365017551186235e-13j, 9.300734622587297551e+00+5.197354011859232350e-14j, 9.425031322852818860e+00-6.886952770835711111e-14j
 8.000000000000007105e-02+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.137739090415771148e+00-3.689682437058196624e-14j, 3.146765995432542429e+00+2.520187073734089198e-14j, 5.123558221587270367e+00+1.209125517107132207e-14j, 5.283170708659936210e+00+3.833700922667352229e-13j, 6.533874157830858564e+00+8.354981679790573469e-14j, 7.033623931204982860e+00-1.455679806986006293e-14j, 7.323214970046898920e+00+2.241244873539096738e-13j, 8.620963681271550882e+00-3.084138028351043153e-13j, 9.309450914579775471e+00-4.681049966144634782e-14j, 9.426283313911895334e+00-1.646355438731142480e-13j
 1.200000000000001066e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.152594804747797852e+00-7.369449609565765934e-15j, 3.152993740865770445e+00+4.856373078990888561e-14j, 5.111037549150048598e+00-4.801530160564743665e-15j, 5.252255662054599483e+00-1.403761703867235709e-13j, 6.553420055781207232e+00-5.463020181991803557e-14j, 7.044525542697885001e+00-9.052870954444457077e-15j, 7.331345772542911199e+00+8.046533206255076708e-14j, 8.611877459022018400e+00-2.104039467850346406e-13j, 9.323453908917901600e+00-3.628446305496294414e-13j, 9.428364160795549509e+00-2.256108403900331881e-13j
 1.599999999999999201e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.173213501031018513e+00-2.113153240243706823e-14j, 3.161657447337526072e+00-2.187770515468701584e-14j, 5.093853557656796482e+00-8.073358568244959775e-15j, 5.210926207648565622e+00-2.811878310947035323e-14j, 6.578765460653229091e+00-1.880676776476279272e-13j, 7.059424867202317877e+00-2.351660421486634526e-14j, 7.342571294835456897e+00+8.076081925027004646e-14j, 8.600258704230546059e+00+1.223363591597765709e-14j, 9.342059187086476868e+00-1.297008432342363536e-13j, 9.431265006503428694e+00-6.626939012028494347e-14j
 1.999999999999999556e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.199424393033173608e+00-1.037056223561005090e-13j, 3.172701589535373401e+00-1.431134490151115798e-15j, 5.072323772041910317e+00-3.789214256148799597e-14j, 5.160656887568457307e+00-5.719842256194892051e-14j, 6.608394746590128932e+00+1.776250320719542950e-14j, 7.077986664558429730e+00+1.642744951721814278e-14j, 7.356702113094375051e+00+2.688537944140983481e-14j, 8.587012563537976817e+00-1.560061708092136469e-13j, 9.364465491237968564e+00-7.367893786612602251e-14j, 9.434973145486694079e+00-2.138992964727372129e-14j
 2.399999999999999911e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.231019177607092452e+00-6.327689225044714431e-14j, 3.186054150588931488e+00-6.692935254062564079e-14j, 5.046821911783825776e+00-5.031359018057383906e-14j, 5.102890753205850061e+00-1.281619088864266575e-13j, 6.640846950429144080e+00-4.030512235236150565e-14j, 7.099814241227242917e+00+2.664621065215026861e-14j, 7.373453683580470042e+00+2.748358917357507573e-14j, 8.573108826875515120e+00-1.362909112614961685e-13j, 9.389836179092464263e+00-6.643516118649670100e-14j, 9.439471708305005038e+00-2.703993856136474436e-14j
 2.800000000000000266e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.267759092292046752e+00+8.844328304551451831e-14j, 3.201626021701161839e+00+6.428893566059875386e-14j, 5.038941519478720821e+00+5.294489345801949737e-14j, 5.017750946162218284e+00+8.658949535351112310e-14j, 6.674842408481900691e+00-1.318472662322283422e-14j, 7.124467671809252778e+00-1.662303444621940367e-14j, 7.392424477065843824e+00-1.537989100962107814e-13j, 8.559528540326192925e+00-4.728438092617168961e-14j, 9.417348974060873346e+00+1.487947848355668473e-14j, 9.444739299157808077e+00-1.495199824370778824e-13j
 3.200000000000000622e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.309382251261056673e+00+8.173057267478989582e-14j, 3.219310118174437019e+00-4.089838172663609580e-14j, 4.969826331665196939e+00+9.007262960984837435e-14j, 4.985653017370987428e+00+2.990637443406399686e-14j, 6.709341004852134915e+00+8.803428857039383171e-14j, 7.151480233389415631e+00+2.366153927664558756e-14j, 7.413080443589064039e+00-2.113822530370696175e-13j, 8.547235353398818347e+00+1.060690118540445363e-13j, 9.446213033393801695e+00+2.458591639090683933e-13j, 9.450752305325989866e+00+1.558570398468957117e-13j
 3.600000000000000977e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.355610785940233320e+00+1.678876207955583508e-13j, 3.238980113196057165e+00+2.599070852732368694e-14j, 4.896668545676257978e+00-6.989708747564462917e-15j, 4.950793850075227098e+00+7.612562613995540562e-15j, 6.743552464811741309e+00+2.164430081358655309e-14j, 7.180371921442723959e+00-4.204255138725624684e-14j, 7.434752809411655505e+00-2.534757809275153628e-13j, 8.537159615807862423e+00+1.710087756953168400e-13j, 9.457465212830097556e+00-5.866221327140005785e-14j, 9.475686573910552468e+00+3.641717440020056416e-13j
